PROGRAMA;CONCURSO;FOLIO;ANOPOSTULACION;ANO FALLO;RESPONSABLE PROYECTO;SEXO_RESPONSABLE;NOMBREINVEQUIPO;ROLINVEQUIPO;SEXOINVEQUIPO;INSTITUCIONEQUIPO
FONDECYT;FONDECYT REGULAR 2016;1160142;2015;2016;EUGENIO BOBENRIETH HOCHFARBER;HOMBRE;EUGENIO BOBENRIETH HOCHFARBER;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160142;2015;2016;EUGENIO BOBENRIETH HOCHFARBER;HOMBRE;JUAN RODRIGO ANDRES BOBENRIETH HOCHFARBER;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DEL BIO-BIO
FONDECYT;FONDECYT REGULAR 2016;1160145;2015;2016;STEFAN GELCICH CROSSLEY;HOMBRE;STEFAN GELCICH CROSSLEY;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160145;2015;2016;STEFAN GELCICH CROSSLEY;HOMBRE;JUAN CARLOS  CASTILLA;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160147;2015;2016;JUAN PABLO MANALICH RAFFO;HOMBRE;JUAN PABLO MANALICH;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160149;2015;2016;ERIC POMMIER SCHOCKAERT;HOMBRE;ERIC  POMMIER SCHOCKAERT;INVESTIGADOR(A) RESPONSABLE;HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160152;2015;2016;NICOLAS LIBEDINSKY SILVA;HOMBRE;NICOLAS LIBEDINSKY SILVA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160167;2015;2016;MIGUEL GULPPI CABRA;HOMBRE;MIGUEL GULPPI CABRA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE SANTIAGO DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160167;2015;2016;MIGUEL GULPPI CABRA;HOMBRE;MARITZA PAEZ COLLIO;COINVESTIGADOR(A);MUJER;UNIVERSIDAD DE SANTIAGO DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160167;2015;2016;MIGUEL GULPPI CABRA;HOMBRE;JORGE  PAVEZ;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE SANTIAGO DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160168;2015;2016;CARLOS GARCIA MANSILLA;HOMBRE;CARLOS  GARCIA MANSILLA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160168;2015;2016;CARLOS GARCIA MANSILLA;HOMBRE;HECTOR CONTRERAS;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160174;2015;2016;DANIEL REMENIK ZISIS;HOMBRE;DANIEL REMENIK ZISIS;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160176;2015;2016;RICARDO SOTO RIFO;HOMBRE;RICARDO SOTO RIFO;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160176;2015;2016;RICARDO SOTO RIFO;HOMBRE;FERNANDO VALIENTE;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160177;2015;2016;MARIO MOLINA GALVEZ;HOMBRE;MARIO MOLINA GALVEZ;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160180;2015;2016;EDUARDO  SANTA CRUZ ACHURRA;HOMBRE;EDUARDO  SANTA CRUZ ACHURRA;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160180;2015;2016;EDUARDO  SANTA CRUZ ACHURRA;HOMBRE;CLAUDIO  SALINAS MUNOZ;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160180;2015;2016;EDUARDO  SANTA CRUZ ACHURRA;HOMBRE;JOSE MIGUEL SANTA CRUZ GRAU;COINVESTIGADOR(A);HOMBRE;PARTICULAR
FONDECYT;FONDECYT REGULAR 2016;1160180;2015;2016;EDUARDO  SANTA CRUZ ACHURRA;HOMBRE;HANS STANGE MARCUS;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160188;2015;2016;DAVID GOMEZ ROJAS;HOMBRE;DAVID GOMEZ ROJAS;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
